2B,3B,AB,AVG,G,H,HR,PA,R,RBI,SAC,SF,TB,team_filter,선수명,순위,팀명
0,0,1,1.000,2,1,0,2,1,0,0,0,1,LG,김준태,1,LG
1,0,5,0.400,10,2,0,6,3,0,0,0,3,LG,김현종,2,LG
25,1,420,0.317,114,133,31,491,81,94,0,10,253,LG,오스틴,3,LG
14,7,458,0.312,133,143,1,533,87,60,6,4,174,LG,신민재,4,LG
20,2,468,0.308,133,144,3,535,57,70,0,9,177,LG,문성주,5,LG
24,0,476,0.298,138,142,12,545,66,89,0,1,202,LG,김현수,6,LG
4,0,167,0.293,49,49,1,207,31,16,2,4,56,LG,홍창기,7,LG
16,2,340,0.288,130,98,1,394,41,38,12,0,121,LG,구본혁,8,LG
5,0,103,0.282,119,29,0,115,37,2,3,1,34,LG,최원영,9,LG
21,1,507,0.280,139,142,24,599,91,108,0,9,237,LG,문보경,10,LG
18,2,438,0.279,142,122,3,538,79,43,21,4,153,LG,박해민,11,LG
2,0,52,0.269,38,14,2,57,12,13,0,1,22,LG,박관우,12,LG
25,0,447,0.255,137,114,22,517,57,76,3,5,205,LG,박동원,13,LG
24,1,412,0.252,125,104,16,465,57,62,7,6,178,LG,오지환,14,LG
9,2,173,0.237,83,41,1,199,24,17,4,0,57,LG,천성호,15,LG
3,0,128,0.219,76,28,4,156,22,9,2,0,43,LG,이주헌,16,LG
9,1,147,0.211,66,31,3,166,18,20,1,1,51,LG,송찬의,17,LG
1,1,72,0.208,44,15,3,75,12,9,1,1,27,LG,이영빈,18,LG
